
29/5/2019 16:21:38 UTC    INIT: Node.js server listening on 8080
29/5/2019 17:5:10 UTC              SYNC: Exicuted cp /run/media/peters/Danno_SuperDARN/Git_Projects/Repo-A/hdw.dat/hdw.test.dat/hdw.dat.sch /run/media/peters/Danno_SuperDARN/Git_Projects/Repo-B/hardware_dir/hdw.dat/hdw.test.dat/
29/5/2019 17:5:10 UTC              SYNC: Exicuted cp /run/media/peters/Danno_SuperDARN/Git_Projects/Repo-A/hdw.dat/hdw.test.dat/hdw.dat.sps /run/media/peters/Danno_SuperDARN/Git_Projects/Repo-B/hardware_dir/hdw.dat/hdw.test.dat/
29/5/2019 17:5:10 UTC              SYNC: Exicuted cp /run/media/peters/Danno_SuperDARN/Git_Projects/Repo-A/hdw.dat/hdw.test.dat/hdw.dat.sto /run/media/peters/Danno_SuperDARN/Git_Projects/Repo-B/hardware_dir/hdw.dat/hdw.test.dat/
29/5/2019 17:5:10 UTC              SYNC: Exicuted cp /run/media/peters/Danno_SuperDARN/Git_Projects/Repo-A/hdw.dat/hdw.test.dat/hdw.dat.sye /run/media/peters/Danno_SuperDARN/Git_Projects/Repo-B/hardware_dir/hdw.dat/hdw.test.dat/
29/5/2019 17:5:10 UTC              SYNC: Exicuted cp /run/media/peters/Danno_SuperDARN/Git_Projects/Repo-A/hdw.dat/hdw.test.dat/hdw.dat.sys /run/media/peters/Danno_SuperDARN/Git_Projects/Repo-B/hardware_dir/hdw.dat/hdw.test.dat/
29/5/2019 17:5:10 UTC              SYNC: Exicuted cp /run/media/peters/Danno_SuperDARN/Git_Projects/Repo-A/hdw.dat/hdw.test.dat/hdw.dat.tig /run/media/peters/Danno_SuperDARN/Git_Projects/Repo-B/hardware_dir/hdw.dat/hdw.test.dat/
29/5/2019 17:5:10 UTC              SYNC: Exicuted cp /run/media/peters/Danno_SuperDARN/Git_Projects/Repo-A/hdw.dat/hdw.test.dat/hdw.dat.tst /run/media/peters/Danno_SuperDARN/Git_Projects/Repo-B/hardware_dir/hdw.dat/hdw.test.dat/
29/5/2019 17:5:10 UTC              SYNC: Exicuted cp /run/media/peters/Danno_SuperDARN/Git_Projects/Repo-A/hdw.dat/hdw.test.dat/hdw.dat.unw /run/media/peters/Danno_SuperDARN/Git_Projects/Repo-B/hardware_dir/hdw.dat/hdw.test.dat/
29/5/2019 17:5:10 UTC              SYNC: Exicuted cp /run/media/peters/Danno_SuperDARN/Git_Projects/Repo-A/hdw.dat/hdw.test.dat/hdw.dat.wal /run/media/peters/Danno_SuperDARN/Git_Projects/Repo-B/hardware_dir/hdw.dat/hdw.test.dat/
29/5/2019 17:5:10 UTC              SYNC: Exicuted cp /run/media/peters/Danno_SuperDARN/Git_Projects/Repo-A/hdw.dat/hdw.test.dat/hdw.dat.zho /run/media/peters/Danno_SuperDARN/Git_Projects/Repo-B/hardware_dir/hdw.dat/hdw.test.dat/
29/5/2019 17:5:10 UTC              SYNC: Exicuted cd /run/media/peters/Danno_SuperDARN/Git_Projects/Repo-B && git add --all
29/5/2019 17:5:11 UTC              SYNC: Exicuted cd /run/media/peters/Danno_SuperDARN/Git_Projects/Repo-B && git commit -m "User: Bookem306   Message:**Test** Push multiple hdw file inside dir"
29/5/2019 17:5:11 UTC              SYNC: Exicuted cd /run/media/peters/Danno_SuperDARN/Git_Projects/Repo-B && git push
29/5/2019 17:5:16 UTC              STACK: previos repo data pushed to queue

29/5/2019 17:5:16 UTC         NEW OPERATION: File Recieved from 140.82.115.6:::1
29/5/2019 17:5:16 UTC              JSON: WebHook DannoPeters/Repo-B Signature Verified: sha1=c40ed9b55f4f5086468b1ba9c25405d83fe648c3
29/5/2019 17:5:16 UTC              JSON: GitHub user "DannoPeters" (This Server) pushed to DannoPeters/Repo-B
29/5/2019 17:5:16 UTC              STACK: previos repo data retrieved from queue
29/5/2019 17:5:16 UTC              ERROR: DannoPeters/Repo-B push confirmation failed: TypeError: Cannot read property 'length' of undefined
